hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference
"Dos hermanas gitanas iban en su furgoneta cuando vieron que, junto a unos contenedores, había un arrume de tablas. Se detuvieron para recogerlas y llevarlas a la casa de una de ellas. En ese momento pasaba por ahí un policía vestido de paisano, en coche no oficial. Se detuvo, se bajó del vehículo y les tomó fotos. Una de ellas le preguntó que “¿por qué nos estáis haciendo fotos?” a lo que él respondió de manera maleducada que estaba haciendo su trabajo y que si seguía haciendo preguntas, que llamaría a la patrulla. Ella le contestó que “llame, porque no estamos haciendo nada malo”. El agente respondió que estaban tirando escombros, lo cual no era cierto, dado que ellas los estaban recogiendo. La víctima expresó que “antes debería agradecernos por recoger las tablas”. Finalmente, el agente les pidió sus DNI y les dijo que se marcharan, que no las iba a multar. Las mujeres están convencidas que el trato recibido y la identificación tuvo que ver con su perfil étnico. A pesar de que les dijo que no les iba a multar, les llegó una multa de Medio Ambiente. ","Entrevista con la víctima. La víctima se acerca a la oficina del Servicio para relatar lo sucedido, así como para aportar la Resolución dictada por el Concejal Delegado de Medio Ambiente en la que se le sanciona con una multa de 90€. Se presentó recurso de Reposición ante la Alcaldía. ",Pendiente de resultado. ,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Cantabria,Servicios policiales,Discriminación directa,
"Un hombre gitano se encontraba en su coche, aparcado correctamente frente al domicilio de su sobrina. Mientras la esperaba, los agentes de policía que pasaban por dicha calle aparcaron frente a su furgoneta y se acercaron a pedirle la documentación (el hombre considera que le identificaron por ser gitano). Mientras uno de ellos la revisaba y le hacía preguntas tales como “¿qué hace usted aquí?” y “¿lleva usted algo ilícito?”, el otro agente empezó a registrar el vehículo. Le fue intervenido un cuchillo de cocina viejo, con la hoja rota, que estaba en el coche junto con los demás materiales y artículos de pesca que portaba. El mencionado objeto lo utiliza la víctima en sus jornadas de pesca, por ejemplo, para cortar un hilo, montar el aparejo o cortar un pez. Días después recibió una multa de 601€ por llevar dicho cuchillo. Consideramos que dicha actuación de los agentes es discriminatoria, debido a su identificación por perfil étnico. ","La víctima nos envía por medios electrónicos el Acuerdo de Iniciación de Expediente Sancionador, así como diez fotografías de su equipo y en distintas jornadas de pesca como pruebas a anexar en las alegaciones. Una vez revisada la documentación:  Se presentó el escrito de alegaciones a la Unidad de Derechos Ciudadanos y Seguridad Ciudadana de la Delegación del Gobierno en Cantabria.  Se desestimaron las primeras alegaciones y se presentó escrito de segundas alegaciones.  Se recibió notificación por la cual se desestimaban las segundas alegaciones y se confirmaba la multa. Se presentó Recurso de Alzada. ",Pendiente de resultado. ,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Cantabria,Servicios policiales,Discriminación directa,
"Un joven gitano iba conduciendo cuando se atravesó un perro y, al intentar esquivarlo, chocó contra la mediana. Un agente de la policía nacional que casualmente pasaba por allí llamó a la Guardia Civil. Al llegar los agentes de la Guardia Civil, el trato fue correcto, pero al ver su DNI y observar sus apellidos, muy comunes entre la población gitana, el trato cambió por completo. No llamaron a la ambulancia, le multaron por “ir distraído al volante”, por “no llevar chaleco ni triángulos”, percibiendo la víctima un trato discriminatorio; los agentes dijeron frases como “Ya sabemos de dónde sacáis los coches los gitanos, no vamos a pagar el arreglo”. El padre de la víctima puso una queja a la Guardia Civil por trato vejatorio. En la respuesta se indicaba que se habían contrastado los hechos con los testigos presentes (personal de la grúa y obras en carretera) y que esos hechos no ocurrieron así.","Se contactó al vecino de la víctima que el día en que ocurrieron los hechos se encontraba trabajando en la carretera, y se le preguntó si la Guardia Civil le había contactado para corroborar los hechos, en referencia a la queja que puso la víctima. El vecino corroboró que no se le habían contactado desde la Guardia Civil. Se informó al joven de sus derechos y de las posibles actuaciones. ","La víctima pagó la multa y ha preferido no seguir adelante con la estrategia, por miedo a represalias. ",2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Granada,Servicios policiales,Discriminación directa,
"Un joven estaba en la puerta de su domicilio, sin mascarilla por tener una herida en la boca y acabarse de echar la crema antibiótica. Dos agentes de la policía local se le aproximaron diciéndole que iban a denunciarle y que no podía estar en la calle sin mascarilla, aunque fuera la puerta de su casa. La víctima comunicó a los agentes que había en esa misma calle varios grupos de personas sin mascarilla en ese momento, a lo que uno de los agentes contestó que “Nosotros denunciamos a quien nos dé la gana”. La madre de la víctima manifiesta que percibió una actitud discriminatoria ya que las otras personas sin mascarilla no eran de etnia gitana. Al pedirle el número de placa se negaron a facilitárselo. Al día siguiente la madre se personó en la comisaría de la Policía Local para pedir explicaciones sobre la denuncia, pero no quisieron atenderla ni darle ninguna explicación.","Desde la FSG se entrevistó a la víctima. Se le informó de sus derechos y se le propuso enviar una carta de queja a la Jefatura de la Policía Local. Asimismo, se mantuvo una reunión con el Delegado Provincial de Participación Ciudadana, aunque de la Policía Nacional, se les comentó lo sucedido.  La madre de la víctima decidió no seguir adelante por miedo a represalias. Al tratarse de un pueblo pequeño no quiere que su hijo tenga problemas con la policía local; por la misma razón, los posibles testigos no quieren involucrarse. Hubo una reunión con el Delegado Provincial de Participación Ciudadana de la Policía Nacional para ver la posibilidad de realizar acciones de sensibilización conjuntas.",Parcialmente positivo. La mujer no quiso llevar a cabo ninguna acción porque era un pueblo pequeño. Se plantearon acciones de sensibilización conjunta con la Policía Nacional.,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Granada,Servicios policiales,Discriminación directa,
"Un joven gitano acudió a un centro de salud para pedir una receta. En recepción se negaron a dársela. El joven pidió explicaciones, y la recepcionista decidió llamar a la policía local. Al llegar los agentes comenzaron a hacer fotos a su coche, que estaba correctamente aparcado, diciendo frases como “Todos los gitanos sois lo mismo, unos sinvergüenzas” o “Le voy a poner 20 denuncias”. El joven abandonó el lugar.  Días después volvió a ese centro de salud, donde la misma persona de la recepción le dijo que se fuera, que tenía una orden de alejamiento y allí no tenía derecho a estar. El joven se fue sin decir nada por miedo a que se le acusara de algo.","Entrevista personal con la víctima para ver la posibilidad de hablar con testigos y corroborar los hechos. La víctima sostiene que había gente en el centro de salud cuando sucedieron los hechos, pero nadie conocido para poder actuar como testigo. Manifiesta haber vuelto posteriormente y la persona de la recepción le dijo que no era bienvenido allí, que tenía una orden de alejamiento; se consultó con la Guardia Civil y le dijeron que eso no les constaba. Informamos al joven de sus derechos y le propusimos contactar con el centro de salud y presentar una queja. ","La víctima ha preferido no seguir con la estrategia porque no quiere problemas y, además, tiene pensado mudarse a otra localidad. ",2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Granada,Servicios policiales,Discriminación directa,
"Un joven gitano se encontraba en la vía pública hablando por teléfono con su padre, en ese momento pasó un coche de policía nacional y se bajaron dos agentes. El agente se dirigió al joven con muy malas formas, haciéndole las siguientes preguntas: “¿Qué haces?”, “¿con quién hablas?”, “¿llevas alguna sustancia que sea ilegal?”, “¿has estado detenido?”. Le registraron y cachearon. El joven preguntó: “¿Por qué me hacéis esto?, ¿porque soy gitano y estoy en este barrio (barrio con mucha población gitana)?”; a lo que el agente respondió: “Aquí ya se sabe lo que hay, este barrio está plagado de gitanos”. La víctima recibió otra llamada de su padre y el agente le dio un manotazo (no llegó a tirarle el teléfono). La víctima le dijo al agente que iba a llamar a la policía municipal para denunciarle, el agente le amenazó agarrando la porra; la compañera del agente le cogió del brazo y se fueron. ","Desde la FSG se entrevistó al joven, que relató los hechos. Le informamos de sus derechos y le asesoramos en las acciones que se podían llevar a cabo. ","El joven no quiso llevar a cabo ninguna actuación por miedo a represalias, pero conoció sus derechos. ",2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Madrid,Servicios policiales,Discriminación directa,
"Un joven gitano menor de edad, de 14 años, cuando iba a jugar un partido de fútbol, fue detenido por la policía nacional como sospechoso del robo de unas máquinas que estaban dentro de una furgoneta. Fue esposado y trasladado a la comisaria de Puente de Vallecas y desde ahí al GRUME, donde pasó una noche en el calabozo. El joven, que justo antes de su detención había estado hablando con un profesor, no tenía nada que ver con el robo, le habían confundido con otro chico. La familia dice haber recibido muy mal trato por parte de la policía y del abogado del GRUME, nos les dieron ninguna información. Han recibido una notificación para prestar declaración en la Fiscalía de Menores, en calidad de investigado. ","Desde la FSG llevamos a cabo diversas actuaciones: Entrevista con los padres del joven, que nos relataron los hechos y la situación que habían vivido.  Reunión preparatoria con la víctima y sus padres, para preparar la declaración.  Hablamos con el profesor del chico, que nos aseguró que estuvo con él y que no tenía nada que ver con el robo del que le acusaban. Preparamos con el profesor la declaración que prestó en la fiscalía de menores.  Contactamos con el Servicio de Orientación Jurídica para solicitar abogado de oficio. En el Servicio de Orientación le dijeron que se le asignará un abogado el día de la declaración.  Se habló por teléfono con la abogada que le asignaron para preparar la estrategia de defensa. ",Positivo. El caso fue archivado y la familia muy satisfecha con el acompañamiento de la FSG y decidió no emprender ninguna acción legal contra la policía. ,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Madrid,Servicios policiales,Discriminación directa,
"En una reunión mantenida con la Unidad de Policía Judicial de la Zona de Cataluña en nuestra sede, los agentes comenzaron a hacer comentarios prejuiciosos hacia los gitanos, las gitanas y los inmigrantes. ","Interlocución directa con los policías y se comprobó que tenían prejuicios hacia las personas gitanas, a las que asociaban directamente con determinadas conductas por motivos culturales. Se les informó sobre la diversidad y heterogeneidad existente en la comunidad gitana, y reconocieron que debían cambiar esa percepción. Asimismo, nos pidieron que le enviemos materiales didácticos de la Fundación y abrimos la posibilidad de realizar alguna formación en el futuro.",Positivo. Se concretó fecha para realizar una jornada de sensibilización sobre la historia del pueblo gitano. ,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Barcelona,Servicios policiales,Discriminación directa,
"Un grupo de jóvenes gitanos, algunos menores de edad, fueron a celebrar un cumpleaños a un bar. En el bar había un grupo de hombres, que no eran gitanos viendo el fútbol. Cuando acabó el partido, pusieron música y los jóvenes se pusieron a bailar. Al cabo de un rato se presentaron dos coches de la Policía Local y una furgoneta de la Policía Nacional, que habían recibido una llamada anónima de algún cliente del bar.  Los policías cruzaron los coches para bloquear el paso y aparecieron unos 20 agentes, que empezaron a empujar las puertas para acceder al salón donde se encontraban los jóvenes. Al no poder abrirla, comenzaron a pegar porrazos amenazando que ninguno saliera del salón. Consiguieron entrar y una policía empezó a gritar con muy malos modales. Exigía el DNI para documentarse y quien no tuviera la identificación se los llevarían a los calabozos, haciendo fotos y vídeos de alguno de los jóvenes, menores de edad.  Los jóvenes atemorizados entraron en pánico llorando, llamando a los padres que les trajeran la documentación. Algunos de los menores de edad, conforme iban entregando la documentación para ponerles una sanción de 150€, la policía les dejaba que salieran del local. Para coger la documentación había ocho agentes de la policía, el padre de la cumpleañera preguntó a tres de los policías porque había venido tanta policía y les dijo que sus hijos no eran delincuentes y que no deberían sancionarles, sin previo aviso. Uno de los policías le dijo: “con personas como tú, tendría que llamar a otro coche más”, refiriéndose a él, como hombre gitano.  Los jóvenes sintieron mucha vergüenza cuando salían del local, por las risas de los comensales que estaban en las mesas de fuera del local. El dueño del bar les ofreció apoyo. ",Se contactó con los padres de los jóvenes y se les asesoró para presentar alegaciones por las sanciones que habían recibido y también se les informó de sus derechos y la posibilidad de interponer alguna queja por la desproporcionalidad de la actuación policial. ,"Parcialmente positivo. Aunque los padres no quisieron presentar queja por miedo a represalias, se acordó con el alcalde abordar este tema con una acción de sensibilización. ",2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Badajoz,Servicios policiales,Discriminación directa,
"Tres chicos gitanos fueron a un bar y se sentaron al lado de tres hombres, también gitanos. El dueño del bar les dijo que no podían sentarse ahí y añadió: “no me interesa que esto se llene de gitanos”.  Los chicos llamaron a la Policía Nacional para denunciar al dueño del local. Sin embargo, se presentaron tres furgonetas de la Policía Nacional y dos coches de la Policía Local, que empezaron a preguntar: “¿dónde están los gitanos? “Que se pongan aquí”, “anda que no hay bares en el barrio” “no denunciéis, vete a tomar otra caña a otro bar” o “iros a vuestra casa que pronto será el toque de queda”. Y con un par de palmaditas, les dijeron que se fueran ya para casa. ","Entrevista con los chicos. Se propuso la elaboración de un escrito de queja dirigido a la jefatura de la policía Nacional en Valladolid, por tratarse de una actuación inadecuada y desproporcionada a la situación que los chicos habían sufrido. Se presentó escrito por registro electrónico de la Policía Nacional. La Inspectora Delegada acudió a la sede de la FSG para conocer los detalles del caso e indica que estará al tanto de la investigación. ",La respuesta que nos dieron por vía telefónica fue que los agentes no reconocieron los hechos y que había versiones contradictorias. Los chicos no quisieron llevar a cabo ninguna otra actuación por miedo a represalias. ,2021-01-01T00:00:00+01:00,2021-01-01T00:00:00+01:00,Valladolid,Servicios policiales,Discriminación directa,
