hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference
"Un joven gitano se presentó en la FSG de Puertollano para contar a la Técnica de Igualdad que acudió con unos amigos a una discoteca y al intentar acceder al local los encargados de la seguridad les denegaron la entrada, según dijeron literalmente “por ser gitanos “ Los chicos pidieron ver al encargado. Sin embargo, les echaron de allí de muy malas maneras e incluso a empujones. Cuando salió el dueño del local, la explicación que les dio fue que “no os dejo entrar por la mala fama que tenéis los gitanos de ser violentos”. Los jóvenes llamaron inmediatamente a la policía local y cuando llegaron, les explicaron lo que les había dicho el dueño del local. Los agentes de la policía local les animaron a denunciar. El joven acompañado de sus amigos, acudió a la comisaría de policía nacional con la intención de interponer una denuncia, tal y como les habían aconsejado los agentes. Una vez en la Comisaría de policía nacional, les dijeron que “no se podía denunciar porque no era una causa penal sino administrativa”. Los chicos insistieron en interponer una denuncia haciendo uso de su derecho como ciudadanos. Sin embargo, la policía insistió que no se podía y que “si entendían el castellano, que le enseñaran el artículo donde aparecía que era delito” burlándose de los jóvenes. Los chicos salieron de la comisaría de la policía con sensación de frustración y sin poner la denuncia. A los pocos días, se dirigieron al Ayuntamiento y presentaron escrito con la descripción de los hechos acontecidos y también la respuesta de la policía nacional. Días después los jóvenes recibieron contestación por parte de la policía local del Ayuntamiento en la que se indicaba que los hechos sucedidos eran denunciables. Al haber pasado un tiempo desde que sucedieron los hechos y desde la respuesta, los jóvenes decidieron en esta ocasión no presentar denuncia. Sin embargo, pensaron que si les volvía a ocurrir algo similar, presentarían la denuncia de manera decidida.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Ciudad Real,Acceso a bienes y servicios,Discriminación directa,
"Un joven gitano se acercó a la FSG en Puertollano para contar a la Técnica de Igualdad un hecho que le sucedió en julio de 2016. El joven fue con su prima a un local y los porteros no les dejaron pasar por llevar pantalones cortos. Sin embargo, los jóvenes se dieron cuenta que otras personas entraron con la misma vestimenta. El joven solicitó una hoja de reclamaciones y los de seguridad les dijeron “es una orden directa del dueño de no dejar entrar a su local a gitanos”. Tras ese comentario, el joven exigió hablar con el encargado para pedirle, directamente a él, la hoja de reclamaciones. El encargado se personó en el lugar, pero no accedió a dársela y el joven optó por llamar a la policía local. Cuando llegó la policía local, el encargado le proporcionó la hoja de reclamaciones y les dejó pasar dentro del local, para rellenar dicha hoja. Lo hicieron en presencia de la policía. El encargado, en ese momento, afirmó que no dejaba pasar gitanos a su local porque “quiero cuidar la imagen de mi local y que la gente no se sienta incomoda con la presencia de gitanos, debido a la mala fama que tienen en Puertollano”. Ante dichos comentarios, una de las agentes de policía animó a los jóvenes a que denunciaran, por tratarse de un caso claro de discriminación por motivos étnicos. El joven con el asesoramiento de la Técnica de Igualdad de la FSG presentó queja en la oficina de consumidores y usuarios. En unos días el joven recibió contestación a la queja interpuesta que sugería que interpusiesen una denuncia. Sin embargo, el joven, aunque valoró la posibilidad de interponer denuncia, decidió no hacerlo.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Ciudad Real,Acceso a bienes y servicios,Orden de discriminar,
"Una mujer de avanzada edad, de etnia gitana, contactó con una de las Técnicas de la FSG en Pontevedra y relató que un día que iba a entrar a la oficina de información de vivienda de su ciudad el guardia de seguridad, que estaba en la puerta vigilando, no la dejó entrar. El guardia de seguridad le prohibió la entrada y además le recriminó “siempre son los mismos los que molestan “, y manifestó tener órdenes del organismo para restringir su acceso al edificio. La mujer contó el incidente ocurrido a la Técnica de la FSG en Pontevedra, comentó que sintió miedo por el trato recibido por el guarda de seguridad y solicitó acompañamiento para realizar su gestión. Uno de los técnicos de la FSG acompañó a la mujer a la oficina de vivienda y cuando entraron se encontraron con el guardia de seguridad. El técnico de la FSG y la mujer hablaron con el guardia y le trasladaron el malestar que éste ocasionó a la mujer por prohibirle la entrada a una oficina pública de información en materia de vivienda, sin dar ninguna razón. Asimismo, le indicaron el derecho que tenía la mujer a recibir información como cualquier otra ciudadana. El guardia de seguridad, asintió con la cabeza y se disculpó a la mujer y se dirigió al técnico de la FSG diciéndole “ya sabes cómo son”. El técnico nos trasladó que a pesar de esa disculpa, la actitud del guardia de seguridad fue en todo momento despectiva y amenazante hacia la mujer gitana, quién nos trasladó su agradecimiento ya que se había sentido discriminada por ser gitana y tenía miedo volver a la oficina y que no la atendieran.",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Pontevedra,Acceso a bienes y servicios,Orden de discriminar,
"Cinco jóvenes gitanas del programa de empleo Aprender Trabajando, que desarrolla la FSG en Córdoba, fueron a un supermercado a comprar una crema solar. Desde el mismo momento en el que entraron al local los guardias de seguridad empezaron a seguirlas, sólo a ellas, aunque el supermercado estaba lleno de gente. Los de seguridad las perseguían mientras se comunicaban entre ellos a través de los walkie talkie. Las jóvenes relataron a la Técnica de Igualdad que se sintieron incómodas y avergonzadas y, por ello, salieron del supermercado sin comprar la crema solar. Asimismo, trasladaron a la Técnica que se sintieron mal ya que sabían que las perseguían porque eran gitanas y, seguramente, los de seguridad pensaron que iban a robar. Las cinco chicas tuvieron sentimientos y percepciones iguales respecto a los hechos. La Técnica realizó una jornada de sensibilización donde informó y asesoró a las jóvenes sobre sus derechos y la manera de ejercerlos. Las chicas dijeron que si les pasaba otra vez, reaccionarían de manera distinta ante dicha situación, ejerciendo su derecho a no sufrir ningún trato desigual, con respecto al resto de la clientela, por el hecho de ser gitanas.    ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Córdoba,Acceso a bienes y servicios,Discriminación directa,
"Un hombre gitano fue a una tienda, junto con su mujer y cuando fue a caja a pagar, la dependienta se dirigió a él, en voz alta y en presencia del resto de la clientela, reclamándole el destornillador “que se llevó prestado”. El hombre, atónito, le contestó que él no había sido y que, seguramente, le confundía con otra persona. Sintió que se dirigió a él porque era gitano. Ante esta situación violenta, solicitó la hoja de reclamaciones, pero no se la quisieron entregar, por lo que salieron del local. Al día siguiente, la pareja volvió al comercio, junto con la Técnica de Igualdad de Cáceres, para rellenar la hoja de reclamación. Al solicitar de nuevo la hoja de reclamaciones se produjo una discusión por la actitud de la dependienta, que les denegó la hoja de reclamaciones otra vez y además con frases como “yo no tengo miedo a los gitanos “. La Técnica de Igualdad intentó mediar con la dependienta, pero no obtuvo una respuesta positiva. Finalmente, se interpuso una queja en el comercio que también se presentó ante Oficina de Atención al Consumidor. A fecha de hoy, 8 meses después del hecho, aún no se ha recibido ninguna respuesta.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Cáceres,Acceso a bienes y servicios,Discriminación directa,
"Una de las Técnicas de la FSG en Zaragoza fue de compras con su suegra a un centro comercial. Como estaban las rebajas, compraron muchas prendas, fueron a caja, pagaron y al salir de una de las tiendas, aparecieron tres agentes de seguridad del centro comercial, que les hicieron sacar los tickets de compra y todas las prendas de ropa, revisando cada uno de los artículos, en presencia de todas las personas que pasaban por allí. Las mujeres preguntaron a los agentes de seguridad por qué motivo les estaban registrando sólo a ellas, a lo que ellos respondieron que “lo hacían porque eran gitanas”. Cuando finalizó el registro de todas sus bolsas y de los bolsos por los agentes de seguridad, las mujeres solicitaron la hoja de reclamaciones y, además, exigieron hablar con el responsable de la tienda. El responsable de la tienda justificó el registro de los agentes de seguridad diciendo que el registro era normal, puesto que “el 80% de robos que se producían en la tienda los cometían mujeres gitanas”, a lo que la Técnica de la FSG respondió con argumentos contrarios y solicitó la hoja de reclamaciones. Días después la Técnica de la FSG recibió una carta de disculpas por parte del director del establecimiento.    ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Zaragoza,Acceso a bienes y servicios,Discriminación directa,
"Una joven gitana comentó a la Técnica de Igualdad de Almería una situación reciente en la que, tanto ella como su madre, se habían sentido discriminadas por ser gitanas: La joven entró con su madre a una tienda de ropa y, desde que entraron, la dependienta no paró de vigilarlas. Ante tal situación, la joven preguntó a la dependienta si había algún problema con ellas, a lo que la dependienta contestó que no, que era por si necesitaban ayuda. La joven supo que esa no era la razón por la que la dependienta las estaba siguiendo y le preguntó por qué sólo las perseguía a ellas y no a otras mujeres que estaban en la tienda, en ese momento. La dependienta no dijo nada y se retiró. Inmediatamente la joven y su madre salieron de la tienda. Desde la sede de la FSG en Almería se les informó de sus derechos como clientas de un establecimiento abierto al público, fundamentalmente del derecho a recibir el mismo trato que el resto de la clientela.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Almería,Acceso a bienes y servicios,Discriminación directa,
"Un joven gitano acudió a la FSG de Sevilla y contó a la Técnica de Igualdad lo que le había ocurrido en un supermercado. Cuando llegaron al supermercado el joven, junto con su hermano, el vigilante de seguridad de la tienda les permitió la entrada a ellos dos y a otros dos jóvenes que entraban en el mismo momento que ellos, aunque faltaban escasos minutos para el cierre. Seguidamente, la cajera del supermercado se dirigió a los dos hermanos y les dijo que no podían entrar, que estaban cerrando. El joven observó que las otras dos personas que llegaron al mismo tiempo que ellos, accedieron al lugar sin problemas. En este momento, el joven solicitó una hoja de reclamaciones y los empleados llamaron a la encargada. Ésta continuó con el mismo argumento que sus compañeros, sin permitirles el acceso al supermercado, con la excusa del cierre de la tienda. El joven preguntó por qué a las otras dos personas que llegaron al supermercado a la misma hora les permitieron el acceso mientras que a él y a su hermano se les denegó. A lo que contestaron que una de esas personas ya había estado comprando previamente y que salió a coger algo de su coche. El joven se dio cuenta de que la única diferencia entre las personas a quienes permitieron el acceso a la tienda y ellos fue que ellos eran gitanos y las otras personas no. Tanto el joven como su hermano, que le acompañaba, percibieron actitudes discriminatorias por la cajera cuando les denegó la entrada. El chico pidió la hoja de reclamaciones y la rellenó, sin embargo, no le dieron ninguna copia. El joven contactó con la Técnica de Igualdad de Sevilla y le contó lo sucedido. La Técnica que dialogó, por un lado, con el guardia de seguridad y, por otro, con uno de los responsables, recibió la misma respuesta que el chico, negando cualquier tipo de discriminación. La Técnica solicitó copia de la reclamación y se la dieron. Ese mismo día llamó a la encargada del supermercado, la cual le dijo que no discriminaban a nadie, que además tenían mucha clientela gitana. Con el acompañamiento de la Técnica de Igualdad, el joven presentó la queja en la oficina del consumidor y le dijeron que iban a proceder a una inspección en la cual hablarían con la cajera. Asimismo, por si quería tramitar el caso en vía judicial, desde la oficina del consumidor le derivaron al servicio de atención al ciudadano. En este servicio le informaron que si no había pruebas ni testigos, para demostrar la discriminación, no podrían hacer mucho más. Un par de meses después le llegó la notificación del Servicio de Consumo del Ayuntamiento que indicaba que la Inspectora había mantenido una conversación con la cajera, en la que ésta afirmó que “el reclamante y el acompañante querían entrar al Comercio, rebasado el horario comercial”. El chico quedó satisfecho con el resultado porque la Inspección levantó acta del hecho e investigó el caso, entrevistando a la cajera.",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Sevilla,Acceso a bienes y servicios,Discriminación directa,
"Dos jóvenes gitanos fueron a tomar algo a un bar en Valladolid. Uno de los jóvenes pidió un café y la camarera le dijo que no podía atenderle. El joven pensó que la camarera estaba bromeando y le dijo “venga ya” a lo que ella contestó: “no puedo servir a gitanos por orden de mi jefe y lo siento ya que pagáis justos por pecadores”. El chico fue directamente a la comisaría de Policía nacional a interponer una denuncia. Asimismo, el joven acudió a la FSG de Valladolid y la Técnica de Igualdad le asesoró y acompañó para solicitar justicia gratuita. Al cabo de un tiempo el chico recibió notificación de archivo del Juzgado de Instrucción Nº2 de Valladolid porque “los hechos alegados no son constitutivos de delito”. Se informó al joven de la posibilidad de presentar recurso, pero cuando le informaron que tenía que solicitar, de nuevo, justicia gratuita para que le asignarán abogado/a de oficio y presentar toda la documentación que le solicitaban, decidió no presentar recurso ante la resolución del Juzgado.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Valladolid,Acceso a bienes y servicios,Orden de discriminar,
"Un joven de etnia gitana fue a una discoteca en Madrid con un grupo de amigos. Nos contó que el portero le impidió el acceso al local diciéndole que “allí no entraban mezclas raras y que no querían personas conflictivas”. Cuando el joven le preguntó al portero si el motivo por el que no le dejaba pasar era por ser gitano, le respondió que sí, pero que “no era cuestión de racismo”, alegó que tenía un parecido con alguien con quien habían tenido problemas, en otras ocasiones, en el acceso al local. En aquel momento pasó por allí la policía nacional, el joven les informó de lo que le había dicho el portero y que no le dejó pasar por ser gitano y uno de los policías le dijo que no podían hacer nada, que seguramente el portero lo negaría y se marcharon. La Técnica de Igualdad de la FSG de Madrid asesoró al joven, que presentó una hoja de reclamaciones contra la discoteca. Asimismo, entregó una copia a la oficina de consumidores y usuarios. Además se le informó de la posibilidad de presentar una denuncia. Sin embargo, los testigos no quisieron declarar por miedo. Se valoró conjuntamente el caso y el chico decidió seguir adelante con la reclamación. Desde la FSG se hizo seguimiento a la reclamación y desde el Ayuntamiento se comunicó que se había abierto expediente sancionador para multar a la discoteca por incumplir con la normativa relativa al derecho de admisión, por estar regulado de manera muy amplia lo que dejaba al arbitrio del empresario la admisión o inadmisión de la clientela.  ",,,2016-01-01T00:00:00+01:00,2016-01-01T00:00:00+01:00,Madrid,Acceso a bienes y servicios,Discriminación directa,
