hechos,intervencion,resultado,fecha_hechos,fecha_denuncia,provincia,ambito,tipo_desciminacion,reference,link
"El Diario Vasco publicó una noticia que hace referencia a una agresión, y en ella se especifica que los agresores son de etnia gitana.","Se envió desde la FSG en Bilbao se envió carta al periódico para manifestar nuestro malestar por su mala praxis. La mención de la etnia en este tipo de noticias no aportada nada y sí en cambio, incide de manera negativa en las personas gitanas.",Ha sido efectivo. Hemos comprobado que en las siguientes noticias donde podían haber hecho alusiones a la etnia gitana se ha omitido dicho dato.,2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Bizkaia,Medios de comunicación,Discriminación directa,['http://www.diariovasco.com/gipuzkoa/condenados-robar-vecino-20170914000952-ntvo.html'],https://informesdiscriminacion.gitanos.org/casos/bilbao-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-0
La Voz de Galicia en la sección de Lugo publicó una noticia sobre un derribo de unas viviendas. En el título ya aparecían referencias étnicas calificando las viviendas de “casas gitanas”. El problema mayor surgió en los comentarios que se hacen a raíz de esta noticia. Son comentarios antigitanos y algunos pueden ser considerados como de incitación al odio.,"Se envió carta la medio para trasladarle nuestro malestar y para informarle de que la mención de la etnia no aportaba nada a la noticia y en cambio, sí fomentaba comentarios discriminatorios.","Satisfactorio, se eliminaron los comentarios.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Lugo,Medios de comunicación,Discriminación directa,['https://www.lavozdegalicia.es/noticia/lugo/lugo/2017/09/12/concello-enviara-pala-poblado-carqueixo-derribar-5-casas-gitanas/0003_201709L12C3992.htm'],https://informesdiscriminacion.gitanos.org/casos/lugo-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-7
"El País Edición Galicia publicó una noticia sobre un proceso judicial en la Audiencia Provincial de A Coruña por tráfico de drogas. En la noticia se hace alusión a la etnia de las personas imputadas y se utiliza un tono sensacionalista: “Siete de las mujeres del clan familiar eran las encargadas de realizar el pesaje y venta de sustancias a los toxicómanos, dosis que preparaban y empaquetaban junto a una hoguera con el fin de poder deshacerse de los estupefacientes en caso de ser sorprendidas por la policía”, “Os voy a matar y a pegar el sida haciéndome sangre en los calabozos”, vinculando etnia gitana y delincuencia.",Se envió una carta de queja a El País Edición Galicia explicando esta mala práctica.,"No satisfactorio, ya que no hubo respuesta del medio",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Discriminación directa,['https://elpais.com/ccaa/2017/09/11/galicia/1505139593_912704.html'],https://informesdiscriminacion.gitanos.org/casos/santiago-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-1
"El Diario de Ferrol publicó una noticia sobre una agresión, donde mencionaba la pertenencia étnica del agresor, con frases como “de etnia gitana con claros síntomas de intoxicación etílica”, “portaba una especie de garrote de patriarca”, “Este caso se suma a los dos últimos atropellos mortales que se produjeron en el barrio de Caranza y al intento de robo y agresión sexual del pasado lunes”. Se menciona la etnia en una noticia de sucesos cuando esta información no aporta nada para la comprensión de la noticia (además de que es información sensible). Se utilizan expresiones sensacionalistas como “el garrote de patriarca” y se alude a más sucesos ocurridos en el mismo barrio aunque no tiene relación con la persona implicada, haciendo que se vincule delincuencia y etnia gitana.",Se envió carta de queja al medio por esta mala praxis.,"No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Discriminación directa,['http://www.diariodeferrol.com/articulo/ferrol/detenido-hombre-caranza-agredir-garrote/20170901223048201082.html'],https://informesdiscriminacion.gitanos.org/casos/santiago-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-0
"La Voz de Galicia publicó una noticia sobre una discusión entre varias personas en un hospital de Vigo, mencionando que eran de etnia gitana.","Se envió una carta de queja, pero en este caso se cambió la estrategia ya que el medio es reincidente. Se decidió escribir directamente al equipo de redacción y solicitar una reunión.","No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Medios de comunicación,Discriminación directa,['https://www.lavozdegalicia.es/noticia/vigo/2017/09/01/tangana-15-personas-hospital-povisa/00031504279866803207908.htm'],https://informesdiscriminacion.gitanos.org/casos/santiago-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa
El Diario digital Intereconomía publicó el 11 de agosto de 2017 una noticia con el siguiente encabezado. “30 gitanos okupan un chalet en Fuengirola delante de la propietaria” donde vemos que se explicita la pertenencia étnica de los ocupas.,"Se envió una carta de queja al periódico mediante correo electrónico. En ella mostramos nuestra disconformidad con el vocabulario utilizado y el daño que crea en toda la comunidad gitana hacer explícita la característica étnica de los infractores. Tras enviar carta de queja y no recibir respuesta del periódico, contactamos con ellos desde su página web en la sección “Contacta con nosotros”. Tras no recibir respuesta con la carta de queja vía electrónica y el contacto por la página web del periódico, intentamos contactar por teléfono para asegurarnos de que habían recibido la carta correctamente. Lamentablemente no recibimos respuesta en el teléfono.","No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Málaga,Medios de comunicación,Discriminación directa,['https://intereconomia.com/economia/politica/30-gitanos--okupan-chalet-fuengirola-delante-lapropietaria--20170811-1600/'],https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-7
"La Voz de Galicia publicó en agosto de 2018 dos noticias, una sobre una pelea en la calle y otra sobre un conflicto en un hospital. En ambas noticias se señalaba la pertenencia étnica de los protagonistas, algo innecesario para entender los hechos, donde se vincula etnia gitana y delincuencia, se pone el foco en los conflictos y se utilizan términos sensacionalistas e incorrectos como clan o reyerta.",Se envió una carta al medio haciendo referencia a las dos noticias y a la mala praxis detectada.,"No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,A Coruña,Empleo,Discriminación directa,['https://www.lavozdegalicia.es/noticia/ferrol/ferrol/2017/08/29/persona-resulta-herida-trifulcamultitudinaria-barrio-san-pablo-ferrol/00031504000625797586263.htm'],https://informesdiscriminacion.gitanos.org/casos/santiago-de-compostela-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-12
"El 2 de agosto el periódico El Comercio publicó una noticia sobre una pelea, en la que se utilizaban palabras como : “clanes gitanos o familias gitanas, pugna abierta, conato de enfrentamiento entre clanes, despliegue policial, destierro, represalias, pistola y disparos”, y expresiones como: “Los Vargas y Los Ferreruela”, “Momentos de mucha tensión”, “Este tipo de conflictos”, “Armados con palos y bastones” o “ Un cumpleaños sangriento”. Este tipo de lenguaje lo que finalmente consigue es que los/as lectores/as, acaben vinculando a toda la comunidad gitana con delincuencia, violencia e inseguridad perpetuando los estereotipos que existen acerca de dicha comunidad.","Se envió carta de queja al periódico El Comercio. La persona encargada de supervisar los contenidos que se publican en prensa, realizó una llamada telefónica a la FSG para comentar el caso. Pidió disculpas pero añadió que ella misma revisó la publicación, y que consideró que la información era necesaria para entender la noticia; pero que siempre cumplen con las directrices que ya les hemos indicado en otras ocasiones. Le comentamos que la utilización de palabra como clan, se puede sustituir por familia u otras expresiones que no sean peyorativas. Reiteró sus disculpas, y le agradecimos la atención.","Positivo, ya que el medio respondió, se disculpó y se planteó un tratamiento más cuidadoso en el futuro.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Asturias,Medios de comunicación,Discriminación directa,['http://www.elcomercio.es/asturias/cuencas/lena-vigilara-masgain-20170802000710-ntvo.html'],https://informesdiscriminacion.gitanos.org/casos/lena-asturias-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa
"El periódico La Opinión de Málaga publicó una noticia sobre un conflicto entre familias de un barrio. En el texto de la noticia aparecían expresiones como “enfrentamientos entre clanes rivales”; “…lugar de asentamiento de los principales clanes de la ciudad…”; “…disputas entre distintos clanes enemigos...”; “Días atrás fue detenida la matriarca de uno de los clanes más activos…”. Estos son sólo unos ejemplos, ya que la noticia está saturada de este tipo de declaraciones.","Nos comunicamos, vía correo electrónico con la dirección del periódico y le adjuntamos carta de queja en la que le indicamos nuestra disconformidad con el tratamiento de la información. Solicitamos la retirada de la noticia de la web y esperamos su respuesta.","No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Málaga,Medios de comunicación,Discriminación directa,['http://www.laopiniondemalaga.es/malaga/2017/05/25/investigacion-enfrentamientos-clanes-acaba-25/933079.html'],https://informesdiscriminacion.gitanos.org/casos/m%C3%A1laga-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-6
"El diario El Mundo publicó el 6 de julio de 2017 una noticia en la sección Cataluña con el título “Detenido por herir de gravedad a dos policías locales de Gavà con una escopeta”. “Las autoridades descartaron que el incidente esté relacionado con el terrorismo yihadista, una hipótesis que sí contemplaron en un primer momento. Fuentes próximas a la investigación lo conectan con el crimen organizado. Sostienen que sólo es un hombre de etnia gitana que, armado con un arma larga similar a un AK-47, quería ajustar cuentas pendientes con miembros de clanes rivales tras otros tiroteos ocurridos recientemente. Lo vinculan, en concreto, con el asesinato con arma de fuego de un hombre español de 63 años,…” En esta noticia, aparecía la mención a la etnia gitana, vinculada a delitos como: crimen organizado, tenencia de armas y homicidio, supuestos, todos ellos no demostrados. En este caso, hacer mención a la etnia, era totalmente irrelevante para la comprensión de la noticia y contribuye a generar una actitud social negativa hacia una comunidad entera. Esto tiene un impacto en la construcción del imaginario colectivo que la sociedad tiene sobre las personas gitanas.","Se solicitó al medio un contacto al que dirigirse para enviar una queja. El diario facilitó una dirección de correo electrónico, donde se envió dicha carta, de la que no se obtuvo respuesta.","No satisfactorio, ya que no hubo respuesta del medio.",2017-01-01T00:00:00+01:00,2017-01-01T00:00:00+01:00,Barcelona,Medios de comunicación,Discriminación directa,['http://www.elmundo.es/cataluna/2017/07/06/595e44e7ca4741e9268b4686.html'],https://informesdiscriminacion.gitanos.org/casos/barcelona-medios-de-comunicaci%C3%B3n-discriminaci%C3%B3n-directa-4
